Pays,Annees,PerCapita,Mesures,Date de mise en place,temperature
Australia,2008,18.16087565649531,4,2016,0.613
Australia,2009,18.20018195899814,4,2016,1.130
Australia,2010,17.74084505316191,4,2016,-0.134
Australia,2011,17.53887775590572,4,2016,0.135
Australia,2012,17.07290468039078,4,2016,1.037
Australia,2013,16.09805289481047,4,2016,1.258
Australia,2014,15.39110908196676,4,2016,0.915
Australia,2015,15.33978357822127,4,2016,1.393
Australia,2016,15.53922045998523,9,2016,0.598
Bangladesh,1960,0.2948049781994665,1,0,0.132
Bangladesh,1961,0.2969237205401642,1,0,-0.314
Bangladesh,1962,0.317335556792197,1,0,-0.179
Bangladesh,1963,0.3546737771978767,1,0,0.081
Bangladesh,1964,0.3542015107965663,1,0,0.057
Bangladesh,1965,0.3606411231957065,1,0,0.256
Bangladesh,1966,0.3556160824935187,1,0,-0.072
Bangladesh,1967,0.365431277020226,1,0,-0.346
Bangladesh,1968,0.40607698284661,1,0,0.048
Bangladesh,1969,0.3827899003769399,1,0,0.058
Bangladesh,1970,0.3789029824505302,1,0,-0.505
Bangladesh,1971,0.3521418579634663,1,0,-0.315
Bangladesh,1972,0.05267214808458687,1,0,0.157
Bangladesh,1973,0.06733560495186622,1,0,-0.204
Bangladesh,1974,0.06780048882031516,1,0,0.065
Bangladesh,1975,0.06950239887788567,1,0,-0.156
Bangladesh,1976,0.0777388402487281,1,0,-0.254
Bangladesh,1977,0.07911668181067778,1,0,-0.262
Bangladesh,1978,0.07975539360937581,1,0,0.469
Bangladesh,1979,0.08575200429722821,1,0,0.334
Bangladesh,1980,0.09591172550311754,1,0,-0.101
Bangladesh,1981,0.09700332705476007,1,0,0.040
Bangladesh,1982,0.1024532000720058,1,0,-0.163
Bangladesh,1983,0.09560997739849536,1,0,-0.022
Bangladesh,1984,0.1031876836683045,1,0,0.147
Bangladesh,1985,0.1127603054610209,1,0,0.130
Bangladesh,1986,0.1230103751032205,1,0,0.257
Bangladesh,1987,0.1239949910507516,1,0,0.402
Bangladesh,1988,0.1379611117023904,1,0,0.282
Bangladesh,1989,0.1336129559001034,1,0,-0.071
Bangladesh,1990,0.1372655375458812,1,0,0.186
Bangladesh,1991,0.1402569644349427,1,0,-0.008
Bangladesh,1992,0.1431024999846273,1,0,-0.275
Bangladesh,1993,0.1462471549439782,1,0,0.225
Bangladesh,1994,0.1562914416114087,1,0,0.257
Bangladesh,1995,0.1834615511184213,1,0,0.391
Bangladesh,1996,0.1842695837682252,1,0,-0.135
Bangladesh,1997,0.1949152718690635,1,0,-0.010
Bangladesh,1998,0.1921035884284201,1,0,0.964
Bangladesh,1999,0.2053338258767092,1,0,0.059
Bangladesh,2000,0.2164158109692178,1,0,0.263
Bangladesh,2001,0.2507645283446675,1,0,0.495
Bangladesh,2002,0.2537430152787685,1,0,0.255
Bangladesh,2003,0.2607323246982974,1,0,0.496
Bangladesh,2004,0.2750790092846567,1,0,0.480
Bangladesh,2005,0.2841067394979434,1,0,0.725
Bangladesh,2006,0.3091631152898415,1,0,0.524
Bangladesh,2007,0.3122056961352744,1,0,0.428
Bangladesh,2008,0.3438952043567806,1,0,0.918
Bangladesh,2009,0.3732969729606683,1,0,0.840
Bangladesh,2010,0.4080837914549868,1,0,0.553
Bangladesh,2011,0.4236092155448762,1,0,0.483
Bangladesh,2012,0.4481279434777832,1,0,0.319
Bangladesh,2013,0.4546643165073057,1,0,0.709
Bangladesh,2014,0.4773359971841087,1,0,0.633
Bangladesh,2015,0.5188508588288638,1,0,1.112
Bangladesh,2016,0.5332987910933434,1,0,0.991
Belgium,1960,9.941594074128455,3,0,0.595
Belgium,1961,10.10387199491983,3,0,-0.292
Belgium,1962,10.64118963041146,3,0,-1.716
Belgium,1963,11.38692873989345,3,0,-0.188
Belgium,1964,11.05365471710567,3,0,-0.233
Belgium,1965,11.14165555487107,3,0,0.098
Belgium,1966,11.0420194279754,3,0,0.210
Belgium,1967,11.21725675350285,3,0,0.138
Belgium,1968,12.32568712627704,3,0,-0.275
Belgium,1969,12.81544960663618,3,0,-0.148
Belgium,1970,13.01017881013291,3,0,0.146
Belgium,1971,12.56342517575949,3,0,0.213
Belgium,1972,13.47269525692982,3,0,-0.231
Belgium,1973,14.25548640281182,3,0,0.717
Belgium,1974,13.83696554558293,3,0,0.216
Belgium,1975,12.45830389666044,3,0,0.634
Belgium,1976,13.24167978597358,3,0,0.514
Belgium,1977,12.87543871749127,3,0,0.069
Belgium,1978,13.80705793587379,3,0,-0.943
Belgium,1979,14.23923381526021,3,0,0.062
Belgium,1980,13.72329627368919,3,0,0.011
Belgium,1981,12.57955506968164,3,0,-0.075
Belgium,1982,11.92668478231645,3,0,0.751
Belgium,1983,10.31207942351088,3,0,0.230
Belgium,1984,10.69696638543933,3,0,-0.385
Belgium,1985,10.59744025039591,3,0,-0.502
Belgium,1986,10.43154171394072,3,0,-0.578
Belgium,1987,10.44717278232715,3,0,0.827
Belgium,1988,10.13514385056896,3,0,1.014
Belgium,1989,10.81351494214404,3,0,1.582
Belgium,1990,10.63967167296438,3,0,0.046
Belgium,1991,11.09099987745497,3,0,1.031
Belgium,1992,11.14648251426209,3,0,0.986
Belgium,1993,10.67503454567541,3,0,0.096
Belgium,1994,11.10510940375972,3,0,1.413
Belgium,1995,11.08115205067945,3,0,0.283
Belgium,1996,11.62383424749747,3,0,-0.019
Belgium,1997,11.32885202153568,3,0,1.479
Belgium,1998,11.60191455304161,3,0,0.614
Belgium,1999,11.17302674572595,3,0,1.570
Belgium,2000,11.22966769906109,3,0,1.031
Belgium,2001,11.13371551450095,3,0,1.423
Belgium,2002,10.38549510127231,3,0,1.184
Belgium,2003,10.88211417490504,3,0,1.034
Belgium,2004,10.66129022197866,3,0,0.918
Belgium,2005,10.35854254430713,3,0,0.552
Belgium,2006,10.16355440550673,3,0,3.044
Belgium,2007,9.75547549808483,3,0,0.891
Belgium,2008,9.752327200077907,3,0,0.372
Belgium,2009,9.197989291522719,3,0,0.501
Belgium,2010,10.11963523577346,3,0,0.935
Belgium,2011,9.056655466837903,3,0,1.025
Belgium,2012,8.565189829198557,3,0,-0.048
Belgium,2013,8.737190336368231,3,0,1.999
Belgium,2014,8.34713437535379,3,0,1.157
Belgium,2015,8.811835806296077,3,0,1.636
Belgium,2016,8.550513254205871,3,0,1.533
Brazil,1960,0.6498859380952631,5,0,0.016
Brazil,1961,0.6621304906304815,5,0,0.110
Brazil,1962,0.7017755027528961,5,0,-0.107
Brazil,1963,0.7060494227076789,5,0,0.224
Brazil,1964,0.6998843428160496,5,0,-0.266
Brazil,1965,0.6764552250576412,5,0,0.180
Brazil,1966,0.7503749657001765,5,0,-0.048
Brazil,1967,0.7518873739271612,5,0,-0.269
Brazil,1968,0.8565535235406821,5,0,0.148
Brazil,1969,0.9090933605403644,5,0,0.296
Brazil,1970,0.9857880811893062,5,0,-0.145
Brazil,1971,1.052857905774673,5,0,-0.152
Brazil,1972,1.145237688880974,5,0,0.519
Brazil,1973,1.29536175011696,5,0,-0.106
Brazil,1974,1.370088015229051,5,0,-0.168
Brazil,1975,1.409905722740326,5,0,-0.159
Brazil,1976,1.413180721709473,5,0,0.024
Brazil,1977,1.449507776677354,5,0,0.267
Brazil,1978,1.536862786633139,5,0,-0.017
Brazil,1979,1.597599173609491,5,0,0.287
Brazil,1980,1.550121182899807,5,0,0.242
Brazil,1981,1.390352264747183,5,0,0.114
Brazil,1982,1.361098385864653,5,0,0.634
Brazil,1983,1.287243470332472,5,0,0.286
Brazil,1984,1.275133164563143,5,0,0.111
Brazil,1985,1.339863549617192,5,0,0.160
Brazil,1986,1.440047634290248,5,0,0.326
Brazil,1987,1.472977771946975,5,0,0.654
Brazil,1988,1.457685287475895,5,0,0.122
Brazil,1989,1.462631966266758,5,0,0.262
Brazil,1990,1.401895769731102,5,0,0.414
Brazil,1991,1.446313753498554,5,0,0.498
Brazil,1992,1.430744302226548,5,0,0.210
Brazil,1993,1.471087008876138,5,0,0.486
Brazil,1994,1.518847687447036,5,0,0.609
Brazil,1995,1.594541722209228,5,0,0.627
Brazil,1996,1.729996821425801,5,0,0.390
Brazil,1997,1.797434636309137,5,0,1.212
Brazil,1998,1.839317926616122,5,0,0.703
Brazil,1999,1.858029049956425,5,0,0.391
Brazil,2000,1.876441306767868,5,0,0.384
Brazil,2001,1.904295639676039,5,0,0.795
Brazil,2002,1.850682074699483,5,0,1.006
Brazil,2003,1.769005570816789,5,0,0.630
Brazil,2004,1.835946430604257,5,0,0.903
Brazil,2005,1.865977057623897,5,0,0.704
Brazil,2006,1.847654542161925,5,0,0.835
Brazil,2007,1.910334175153634,5,0,0.514
Brazil,2008,2.018593476379532,5,0,0.708
Brazil,2009,1.893620024349502,5,0,1.141
Brazil,2010,2.144736395090715,5,0,0.702
Brazil,2011,2.224711944489108,5,0,0.761
Brazil,2012,2.358548364267033,5,0,1.012
Brazil,2013,2.505408787603476,5,0,0.726
Brazil,2014,2.631289885245012,5,0,1.010
Brazil,2015,2.466788048378454,5,0,1.592
Brazil,2016,2.242393445677353,5,0,1.179
Canada,1960,10.7708472869716,1,0,0.211
Canada,1961,10.62789765201686,1,0,-0.375
Canada,1962,11.13062748468894,1,0,0.313
Canada,1963,11.132102404556,1,0,0.160
Canada,1964,12.30537040103493,1,0,-0.642
Canada,1965,12.81400147372701,1,0,-0.453
Canada,1966,12.93491814644852,1,0,-0.799
Canada,1967,13.81035459533608,1,0,0.464
Canada,1968,14.63264519861165,1,0,0.085
Canada,1969,14.61864861137531,1,0,0.352
Canada,1970,16.01414875257925,1,0,-0.029
Canada,1971,16.05533217509199,1,0,-1.121
Canada,1972,17.15406592256179,1,0,-0.526
Canada,1973,16.96713527792846,1,0,-0.429
Canada,1974,17.09800561373966,1,0,0.008
Canada,1975,17.16020891598099,1,0,0.126
Canada,1976,17.0286240723165,1,0,1.078
Canada,1977,17.20283523750873,1,0,-0.069
Canada,1978,17.35562946238865,1,0,-0.948
Canada,1979,18.26610116280185,1,0,1.065
Canada,1980,18.07962055448053,1,0,1.130
Canada,1981,17.32493527878722,1,0,0.007
Canada,1982,16.51518883150664,1,0,-0.215
Canada,1983,16.11132554569814,1,0,0.718
Canada,1984,16.62025251402416,1,0,-0.078
Canada,1985,16.33299045635427,1,0,0.134
Canada,1986,15.51911259336012,1,0,0.607
Canada,1987,16.31019464467287,1,0,1.200
Canada,1988,17.02217436585975,1,0,0.156
Canada,1989,16.98419296617148,1,0,0.172
Canada,1990,15.71554137645047,1,0,0.176
Canada,1991,15.22180457402999,1,0,0.227
Canada,1992,15.54314788371783,1,0,0.246
Canada,1993,15.53371110182395,1,0,-0.066
Canada,1994,15.7530718521849,1,0,1.329
Canada,1995,15.95907715265189,1,0,-0.130
Canada,1996,16.19102949529112,1,0,0.096
Canada,1997,16.56173400689388,1,0,1.923
Canada,1998,16.79757270833764,1,0,2.226
Canada,1999,16.95288534833691,1,0,1.320
Canada,2000,17.41463895432828,1,0,1.118
Canada,2001,17.01842805860384,1,0,0.765
Canada,2002,16.56039221074666,1,0,0.899
Canada,2003,17.47884131565046,1,0,0.805
Canada,2004,17.32455499112338,1,0,0.830
Canada,2005,17.41190096574676,1,0,2.397
Canada,2006,17.56133592237111,1,0,1.368
Canada,2007,17.38715720517711,1,0,0.578
Canada,2008,16.89745661563808,1,0,0.464
Canada,2009,15.82542958964307,1,0,2.599
Canada,2010,15.50551339838221,1,0,1.424
Canada,2011,15.22379395426725,1,0,2.257
Canada,2012,14.91382200643874,1,0,1.206
Canada,2013,14.79888289908541,1,0,0.355
Canada,2014,15.25547232749774,1,0,0.946
Canada,2015,15.38895030623276,1,0,2.144
Canada,2016,15.09005647186292,1,0,1.908
Chile,1960,1.658786374998617,2,0,-0.218
Chile,1961,1.743012816645273,2,0,0.042
Chile,1962,1.973031759144886,2,0,0.245
Chile,1963,2.006373934484087,2,0,-0.184
Chile,1964,1.986496835473888,2,0,0.134
Chile,1965,1.97634750119054,2,0,0.008
Chile,1966,2.053282564413859,2,0,-0.031
Chile,1967,2.068179502034719,2,0,0.071
Chile,1968,2.241519002581625,2,0,0.402
Chile,1969,2.343375155007962,2,0,0.313
Chile,1970,2.52109824929312,2,0,-0.441
Chile,1971,2.725154074933366,2,0,-0.028
Chile,1972,2.790261839406141,2,0,0.088
Chile,1973,2.693678903087126,2,0,-0.223
Chile,1974,2.488784038198842,2,0,0.045
Chile,1975,2.172717614774572,2,0,-0.409
Chile,1976,2.24072365606452,2,0,0.269
Chile,1977,2.115710113699087,2,0,0.383
Chile,1978,2.069415145324287,2,0,0.484
Chile,1979,2.209021031504831,2,0,0.400
Chile,1980,2.212528245920871,2,0,0.402
Chile,1981,2.12003128298757,2,0,0.332
Chile,1982,1.755452165807456,2,0,0.793
Chile,1983,1.75005298976483,2,0,0.102
Chile,1984,1.838033603697922,2,0,0.278
Chile,1985,1.754334174523522,2,0,0.301
Chile,1986,1.787562702763811,2,0,0.600
Chile,1987,1.793339974202171,2,0,0.496
Chile,1988,2.095843165177789,2,0,0.184
Chile,1989,2.480093742452383,2,0,0.346
Chile,1990,2.509652816505599,2,0,0.385
Chile,1991,2.321075595590688,2,0,0.069
Chile,1992,2.367010235339111,2,0,0.116
Chile,1993,2.483157937536756,2,0,0.422
Chile,1994,2.689741810517042,2,0,0.402
Chile,1995,2.902824350077387,2,0,0.001
Chile,1996,3.324776296206924,2,0,0.588
Chile,1997,3.814010139170119,2,0,0.879
Chile,1998,3.848484480261465,2,0,0.319
Chile,1999,4.056171947133775,2,0,0.226
Chile,2000,3.833506698744319,2,0,-0.035
Chile,2001,3.437728379523918,2,0,0.105
Chile,2002,3.517039182031022,2,0,0.328
Chile,2003,3.508135131294996,2,0,0.567
Chile,2004,3.732492990464984,2,0,0.421
Chile,2005,3.820018030342363,2,0,0.394
Chile,2006,3.963081057059266,2,0,0.320
Chile,2007,4.33379715121328,2,0,0.159
Chile,2008,4.300340466372975,2,0,0.794
Chile,2009,3.956216400790563,2,0,0.187
Chile,2010,4.234476106013783,2,0,0.159
