Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Europe & Central Asia (IDA & IBRD countries),TEC,CO2 emissions (kt),EN.ATM.CO2E.KT,2604947.97289915,2694267.86556557,2844793.09393567,3050977.47250335,3250218.15834749,3435730.39093789,3621412.51656256,3792544.12586442,3928918.90860532,4119911.56165629,4321147.12054808,4572358.63361983,4816856.63162737,5023758.94527539,5210591.95919679,5499075.8118209,5738329.04744767,5949451.28485033,6160469.39426424,6216479.2913713,6442343.8598129,6278254.59080288,6414848.5903622,6503110.76187973,6554780.16598201,7018840.24890151,7075814.70000962,7104592.38784809,7218590.61384847,7077447.86530687,6544087.86566344,6266159.30284639,4142638.86530629,3834342.70114528,3386118.2877003,3305092.21199189,3251393.23856238,3062841.85184452,2998770.19216274,2999167.26863177,3019489.34263631,3023070.52286642,3033937.68170276,3162684.1077787,3196694.08195146,3214135.47855332,3341352.76803393,3381468.96379847,3428729.341,3135769.044,3350633.242,3501170.926,3519128.225,3419682.852,3361766.254,3295683.247,3365154.562,..,..,..,..
European Union,EUU,CO2 emissions (kt),EN.ATM.CO2E.KT,1640341.36187554,1725769.6079824,1870376.85593397,2043402.70717764,2160664.90643398,2243339.73531055,2344860.17545226,2458712.58731027,2631360.19133846,2815961.51986748,3028569.8297188,3116645.806334,3298988.77648826,3500344.2316792,3499354.1139681,3437494.00686077,3729773.41770107,3704152.73131168,3855323.68094355,3998479.12708279,3959553.03864315,3717358.009099,3635256.1135047,3575298.36739284,3570675.96392137,3636902.60138382,3612728.15434772,3693077.87534093,3635250.55104565,3746966.97862803,3556141.25842083,3550467.55018871,3443228.659,3400112.073,3345231.751,3409965.302,3503873.505,3435769.981,3437009.427,3365942.967,3370336.033,3451952.452,3445058.492,3507327.819,3516330.304,3497837.623,3530492.258,3475446.921,3394285.21,3129531.477,3217253.451,3120936.029,3027805.23,2966298.639,2821760.167,2867173.26688163,2881620.53582915,..,..,..,..
Fragile and conflict affected situations,FCS,CO2 emissions (kt),EN.ATM.CO2E.KT,92229.7084104353,89486.4212690652,92336.030767423,97298.5943896479,100833.138909134,121816.040337035,132580.460789639,148774.155216591,159817.193057616,182528.275313689,199004.352228904,198375.580555037,200807.835053947,217197.314672761,237479.907529768,213240.194737228,242088.389738229,241026.631582358,244268.382547623,299739.598542107,307266.03312929,301569.437066054,301396.242473253,312288.676320537,326385.210134651,342017.904684919,358874.256684329,355700.277516247,394473.275704749,367805.073513143,349314.668181649,356610.597323478,365438.558935645,390090.683442881,404104.141762587,407266.767600828,396298.751216311,418725.665483935,459161.560531876,471692.153900453,492324.165589265,533947.918920052,556393.569122737,588448.749466939,573599.300491314,596101.984647867,586257.294459184,552632.507878658,613405.114016789,613401.413879172,679474.771306819,682830.796125483,703603.368707597,722116.817168544,740973.722782267,715668.686106741,738491.967871883,..,..,..,..
Heavily indebted poor countries (HIPC),HPC,CO2 emissions (kt),EN.ATM.CO2E.KT,19708.8798012604,20761.892079155,20796.9924884182,21991.7692033462,23921.7931274608,27945.8467000646,29151.2083692778,31765.9159901863,35519.2267878592,39758.3910583534,43103.7332910619,46297.0145131927,47465.2881310454,50925.6033229712,52015.992032967,51923.271904566,50573.2668350473,52379.454936299,54515.7266946583,55379.8782913557,59871.2413111007,58773.4349908327,60071.5167884468,60460.9413277311,58595.4123443028,62411.7728292883,55168.4763986014,61254.6256268437,66376.4855197156,70285.5661331022,59377.9702280073,57590.3261524358,58988.545688723,61232.3727960275,63112.737,68638.906,72371.912,76533.957,74605.115,74509.773,77509.379,80343.97,85928.811,91352.304,98649.634,101183.531,109720.307,116881.958,121828.741,126141.133,141032.82,153621.631,164310.936,172569.02,188788.161,199382.124,204424.249,..,..,..,..
High income,HIC,CO2 emissions (kt),EN.ATM.CO2E.KT,5777370.38832306,5905378.21228074,6186956.1236217,6535014.52146444,6866287.55699149,7171406.85754123,7486654.36178555,7826608.29662676,8245237.98676395,8785754.09913173,9551194.93558484,9745182.37781088,10234578.490367,10776875.4307894,10533945.9209932,10209720.587039,10781583.3670257,10997153.6265023,11292488.6073956,11594300.0710071,11357703.7589132,10908881.8689993,10507172.0923099,10481421.7280258,10754146.3334117,10881125.5144928,10908480.6709548,11213645.0039381,11615678.1953778,11911725.5074929,11613737.7068769,11740695.186959,11864898.1943072,12041597.4576451,12194281.3790553,12258033.2002892,12622573.9636484,12703774.1159416,12667120.8611003,12839086.878776,13262712.3655499,13223938.704849,13310449.0589916,13510226.5698134,13726735.8100609,13760173.5447511,13800439.2068021,13875575.8068105,13687132.5746986,12955610.9337259,13385297.8105746,13148467.6747161,13065658.3416087,13071380.8371316,12985385.4663507,12909420.4375356,12669524.3737658,..,..,..,..
IBRD only,IBD,CO2 emissions (kt),EN.ATM.CO2E.KT,3578666.73812609,3419600.66172354,3448603.93614282,3631624.88732401,3837056.60617993,4090595.30704339,4344903.62518544,4420723.47523413,4670560.48429569,5005921.21344031,5494473.4253473,5888550.93360504,6205378.10752454,6530623.74639918,6752030.03045512,7206077.29231723,7575910.36059521,7966150.75233087,8420996.90715883,8618022.31635623,8810622.44409878,8692076.76641122,9042180.1063125,9276602.90822053,9557892.70323028,10209768.4499413,10469007.1260192,10783051.532629,11203808.7991233,11299462.6380562,10949819.3935803,11056535.9877428,9685365.36253544,9741884.48008423,9655150.39254014,10034768.9924067,10304608.3758772,10297560.0574652,10148341.1910204,10313925.1186058,10516805.4771617,10726686.2815385,11160923.8253381,12204038.1252538,13179372.2011922,14075502.9164165,15023119.614,15419500.312,16746591.279,16721105.629,18251850.775,19638233.465,20305462.45,20457569.61,20731974.887,20741010.375,20735704.226,..,..,..,..
IDA & IBRD total,IBT,CO2 emissions (kt),EN.ATM.CO2E.KT,3689617.70247326,3531242.63095455,3564889.93306498,3758872.36312434,3973373.39282322,4241009.5922577,4504204.27575835,4586294.13971146,4845127.6010963,5196945.52974293,5708903.13945209,6123032.99031769,6425858.57882939,6771424.40975936,7016327.69002711,7460405.05405898,7847081.09879426,8240886.35104284,8703143.82812883,8941201.04071929,9144372.88992954,9031095.82567676,9385810.87668162,9626331.82844236,9930491.62782791,10596356.2287974,10864375.5523953,11185020.8517864,11636704.9576819,11705664.2986436,11349858.9479716,11471078.4178333,10102573.1797043,10166804.6434195,10070986.3521357,10446573.8743749,10742695.0228086,10748532.8270989,10617222.7708742,10799971.1064424,11050716.5942558,11278829.5339968,11725274.1429063,12801637.5921077,13800606.9790366,14706390.2295579,15675953.6112271,16109569.7534087,17450702.4093913,17396251.1379567,18997748.1143991,20428722.0976156,21080478.9777206,21246496.9866507,21559429.8538766,21580969.0506066,21601125.1308034,..,..,..,..
IDA blend,IDB,CO2 emissions (kt),EN.ATM.CO2E.KT,41919.3214082441,44393.3689239321,47953.9417580824,55728.4708949179,61146.4147126559,71122.9687101759,75778.2670132548,77033.3405585141,74356.7041201551,84250.0134437548,104337.593604358,123746.409500689,132826.482394452,152228.894854327,179539.551336627,154707.024762569,171509.64202155,164081.655733281,164472.26535706,206670.911598175,215398.795486891,218997.526774828,222231.262184807,220207.776264899,239097.913808342,247883.428625157,255561.148935187,243945.315205083,273740.50503208,239354.051266558,234993.311040428,237561.089059045,261535.555148079,270094.433674667,261667.625283937,252767.565573049,271433.478107674,275821.141510074,287736.802656391,297487.981020588,340876.689264891,350382.070431796,366542.319,374811.404,385959.084,391041.546,396743.731,409732.245,411228.381,376215.865,424348.907,456908.2,442386.88,444532.075,463831.496,459596.111,465496.314,..,..,..,..
IDA only,IDX,CO2 emissions (kt),EN.ATM.CO2E.KT,46910.832088157,48384.6478882072,50916.2061002312,55635.6688697944,59424.7370382077,64589.9703605131,67951.6131363955,72871.3081417373,81509.7925658175,88331.2934443677,93710.8147523867,97054.4409075666,72471.6607549602,76855.225329113,80216.5533579695,82033.366781269,84068.9120417718,88747.0950088921,91331.7018199251,103103.04579349,106080.47712848,110432.794297318,109223.073320133,114512.812648414,122427.334023131,123953.992968508,125043.188239479,136680.614761695,143979.115860209,138707.232192108,139059.88148066,151279.214092633,152133.774484385,151157.843717394,150593.033391615,155368.363408527,162953.835589114,171755.124379291,178040.666851512,185545.849255994,189812.677357574,198644.552729125,194102.445395184,219114.622313229,231207.791923711,235184.047502245,251222.886109888,276066.836830379,287796.790787053,293965.433760317,316052.675015826,327485.325933686,326163.739780693,337979.278549006,357268.970488614,374182.207972468,393950.156737025,..,..,..,..
IDA total,IDA,CO2 emissions (kt),EN.ATM.CO2E.KT,94745.6524126326,98690.8274579635,104890.494056462,117395.865934728,126747.282393254,141800.601365156,150006.462167519,157203.223871213,165614.231193635,182652.481359622,206726.702713581,227684.352669526,205014.050040512,227257.447973406,255078.328040021,235834.351413632,252910.539258426,252289.58697316,255837.885746104,306994.37446166,318249.134632092,326770.595903991,328067.942642848,332885.867070487,359071.203171448,368573.990822739,376574.295712361,380970.859660712,415832.895104888,379512.730633706,376175.112100405,393670.475613065,415370.236719477,423158.077474672,414002.963090017,409601.699586242,436046.674521414,449127.065121419,467420.167126914,484699.894103077,533098.835079594,551425.591606359,563455.21326451,596341.035199079,619529.707867049,628598.8227941,650094.045725073,687626.574112372,700620.9036616,671438.536014233,741922.219323214,786115.514645231,770157.851941089,784083.128130459,822720.970282621,835298.758187495,860923.186085275,..,..,..,..
Late-demographic dividend,LTE,CO2 emissions (kt),EN.ATM.CO2E.KT,2887399.15794852,2716083.72394641,2720228.96698153,2873802.44162157,3032885.17680236,3228336.65999158,3427889.47252798,3454707.69808418,3615222.07904258,3910066.9649812,4333848.3896769,4696437.02300382,4932387.13868649,5168357.20246909,5324562.79384096,5710758.00863411,5971208.38066022,6249117.32975176,6594981.47609095,6704157.42704978,6853640.50874265,6681065.50656194,6898180.62628347,7069347.29260857,7304998.18679217,7842790.9818716,8011519.99038432,8217639.7174202,8537180.35108166,8522279.12042822,8103895.65157565,8070055.6948414,6700929.82447986,6743643.60846153,6667052.6075856,6895801.72586574,7067306.06382444,6996160.94056576,6765942.77083028,6773221.25304081,6958306.89750957,7110925.02092505,7478529.17954163,8324075.8741386,9134528.56174698,9898776.61330432,10689357.0223313,10920929.6421027,11936792.8545075,11727906.5853075,13224873.8355781,14358166.2007131,14801401.8812938,15046640.8884542,15094428.9926569,14877212.3486291,14680565.3508119,..,..,..,..
Latin America & Caribbean,LCN,CO2 emissions (kt),EN.ATM.CO2E.KT,302453.875673366,309480.935274057,328716.022147133,328407.103003595,354136.717934732,365112.652323843,382981.577723003,412768.082611459,438713.568751334,477332.183611089,526829.963007761,552473.973838882,578575.780509223,631788.033463146,666011.063882908,674162.062971464,717444.240323438,738677.779044998,793151.761994821,848920.972197073,891883.064653332,882541.051999324,906673.964369279,864902.885478471,879451.860563935,906930.776669329,923999.489829202,970270.36684698,993454.190281966,1051772.91389776,1010932.31435496,1029630.67660321,1040390.42287306,1079536.39702256,1117573.27245591,1139919.00632106,1195065.03208387,1261302.04500826,1339940.1214301,1364351.4586089,1357473.55784561,1389105.20210276,1405994.76577365,1440414.04405228,1449822.77410077,1525959.79569959,1567338.8545125,1593209.14033806,1681479.25527473,1645991.81816543,1731757.15647131,1754657.43969454,1828721.41436417,1865757.19546326,1890997.74031123,1872709.99150542,1836828.16712436,..,..,..,..
Latin America & Caribbean (excluding high income),LAC,CO2 emissions (kt),EN.ATM.CO2E.KT,264863.743,268211.714,280866.531,286198.349,308556.048,317375.183,335724.851,361313.177,385559.381,417715.304,457245.564,478477.494,503196.741,552008.178,588912.866,602066.395,627929.746,657053.06,716979.174,767037.391,808008.782,805141.188,831440.912,798892.62,803032.663,825672.721,861726.665,905576.651,924524.04,976060.058,934809.975,954003.053,959855.585,998274.744,1033118.578,1052608.683,1094053.117,1152527.099,1226912.194,1242782.97,1237073.451,1270197.462,1284157.731,1313743.087,1316618.015,1383617.772,1415337.322,1431736.146,1516425.511,1485883.068,1562391.356,1577180.367,1650282.012,1683343.684,1714043.808,1691612.769,1657513.336,..,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,CO2 emissions (kt),EN.ATM.CO2E.KT,272601.113,280400.822,295981.905,297430.37,321493.224,332952.599,350821.89,376630.236,402717.274,435848.619,480670.36,502936.384,528114.006,576038.029,611178.89,618010.511,650683.481,676550.499,733675.025,786828.19,827968.263000001,823083.819,844455.095000001,812640.203,816695.905,841580.167000001,874033.117,918909.863000001,939771.426,996606.259000001,959338.538,981457.882000001,1000100.91,1039792.518,1076077.483,1093646.08,1146637.897,1214319.716,1291282.712,1314384.812,1305257.649,1337061.54,1352910.314,1387200.431,1396870.31,1470822.699,1511086.359,1536883.704,1621188.034,1586769.572,1664829.001,1692635.862,1766397.567,1805124.754,1830401.385,1810478.574,1777196.882,..,..,..,..
Least developed countries: UN classification,LDC,CO2 emissions (kt),EN.ATM.CO2E.KT,33714.1820095407,34841.6615688238,37596.1106103873,40698.4765674446,42980.8711407565,47327.9008768609,49112.1870185421,52476.5105643039,58118.4002218011,63529.0648933355,67679.5533913714,68153.5376234012,48411.9016828446,51729.7913070529,51999.5384309723,50820.3581464104,48700.9164584724,50284.7174289133,53093.9410480166,56997.5672841641,59737.4273571166,58727.8024075898,58053.4345977914,60176.7298160711,62041.8385014565,63764.3665641988,64750.8703316753,68022.5175917832,70843.3018019115,70215.1763562135,69849.0909737515,75473.2055842662,76132.8705017193,76185.6436951156,76773.6878501024,92329.3117780984,94629.4232374469,96589.745503937,97302.929414222,105719.24634502,111279.093687503,120565.420309905,127704.727307103,132944.182464542,154129.481218569,159659.810043111,173509.871576724,183973.865293288,194997.231446589,212568.984259294,232773.516674241,246463.22477599,252616.321580099,271433.463001687,304868.848922089,308726.492738066,329491.002432142,..,..,..,..
Low & middle income,LMY,CO2 emissions (kt),EN.ATM.CO2E.KT,3433219.5917646,3260262.64867176,3275259.78191256,3454006.46890973,3653953.75036029,3917421.3370884,4173792.05370412,4244454.96509257,4481471.7396962,4805850.94291266,5302890.92263988,5740513.9074274,5996183.46197834,6331891.92980028,6565586.13489741,6979962.80373734,7321876.21901311,7698195.02739188,8126786.58954321,8350202.92137663,8532524.74837554,8482842.69819424,8836732.80876077,9081422.63942803,9397921.67717902,10055782.013047,10326056.1034417,10643349.3404904,11146387.5309225,11248091.7586273,10891037.5920354,11050392.6157121,9665306.14483056,9724612.79177788,9645141.58995726,9999281.59198031,10263185.4505148,10269134.8433085,10164589.1937324,10365180.3071459,10640754.4120155,10863207.8851933,11309493.4392968,12369974.0839814,13367216.6127806,14271909.4438852,15210105.3592152,15626291.3877109,16980955.2532272,16947335.2373318,18528063.0413336,19926212.4746085,20601078.4315736,20759874.3998541,21100455.4667057,21111363.0128842,21122439.3270157,..,..,..,..
Low income,LIC,CO2 emissions (kt),EN.ATM.CO2E.KT,39597.4525442022,43121.9165391352,47665.886503224,50800.9101710765,55447.7472828172,65768.8471727035,71733.8183461384,77615.7779923088,90031.9307131564,99740.3264732333,110231.402347518,151128.414779829,130158.121820868,139459.365804362,146827.627081554,153539.70200037,157575.643397372,163781.743292861,158812.9104466,171561.109276506,174624.629925553,180075.720215922,179478.827805592,194582.972837861,209940.105381794,218043.611614757,233428.414667778,259802.362758671,290034.370402428,300446.387679319,206410.139008118,210659.538618086,194329.985326198,183902.355923578,173064.459134626,165832.004906059,159113.993028478,156371.561378001,154646.66643646,164761.510896287,169921.065063528,173828.557332414,162348.171043867,184934.459850758,188872.213434407,192972.621584913,201797.577502929,207668.272567122,222068.875730383,206351.905374893,205307.890015539,190135.623325799,177906.269496847,170766.745821712,178942.288705226,164565.645342573,168202.973650252,..,..,..,..
Lower middle income,LMC,CO2 emissions (kt),EN.ATM.CO2E.KT,357866.358089535,380388.372567801,417582.648079871,454727.340739963,469236.015440751,516078.021232802,540744.114863429,538785.816814832,583046.979190985,604920.684863427,685561.464383109,729193.652586814,746691.254034346,809404.591726774,832849.564443518,861625.412627178,907010.383013883,947191.403540026,1002295.24892764,1054044.63186158,1133778.08895859,1150350.94670267,1175173.96885984,1250332.06005157,1314888.84107439,1401875.18996312,1489592.87210752,1566376.81987589,1670159.65733895,1706786.76088714,1776734.85814182,1867326.62427946,1976698.94828625,1934419.14766031,1872453.51393868,1956910.43200751,2026639.64781996,2018329.64450498,2072891.08727649,2138377.28727454,2237030.15540174,2252498.64347879,2306498.996,2425049.439,2524293.127,2640041.982,2738801.626,2888209.874,3078791.198,3200253.239,3316893.175,3499128.407,3714344.637,3736262.296,3982717.699,4101458.826,4229048.424,..,..,..,..
