Year,Month,monthly_anomaly,monthly_uncertainty,annual_anomaly,annual_uncertainty,five_year_anomaly,five_year_uncertainty,ten_year_anomaly,ten_year_uncertainty,twenty_year_anomaly,twenty_year_uncertainty
1750,12,-0.985,1.982,-1.097,0.814,NaN,NaN,NaN,NaN,NaN,NaN
1751,1,-1.503,1.957,-1.051,0.849,NaN,NaN,NaN,NaN,NaN,NaN
1751,2,-1.124,1.998,-1.101,0.849,NaN,NaN,NaN,NaN,NaN,NaN
1751,3,-0.312,1.865,-1.211,0.858,NaN,NaN,NaN,NaN,NaN,NaN
1751,4,-1.715,1.611,-1.260,0.904,NaN,NaN,NaN,NaN,NaN,NaN
1751,5,NaN,NaN,-1.121,0.915,NaN,NaN,NaN,NaN,NaN,NaN
1751,6,-0.609,1.339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1751,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1751,8,-0.355,1.307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1751,9,-1.161,1.296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1751,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1751,11,-2.906,1.660,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1751,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,1,-4.950,2.044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,3,-0.309,1.804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,4,-2.301,1.600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,10,-2.084,1.492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,11,-0.866,1.643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,12,-1.028,2.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1753,1,-0.582,2.035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1753,2,-0.116,2.078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1753,3,0.700,1.920,-0.759,0.883,NaN,NaN,NaN,NaN,NaN,NaN
