Pays,Annees,percentTotalEmissions,PerCapita,Mesures,Date de mise en place
Algeria,1992,0.37199047912309,2.96498636282543,0,0
Algeria,1993,0.3774674826192914,2.974812410769258,0,0
Algeria,1994,0.395442976676697,3.062919622167527,0,0
Algeria,1995,0.4278904875219201,3.313688067422439,0,0
Algeria,1996,0.4240181407621237,3.317745824948435,0,0
Algeria,1997,0.379957982776519,2.936511705838208,0,0
Algeria,1998,0.4683557234171312,3.543876553957284,0,0
Algeria,1999,0.3964322877913816,3.005719448711877,0,0
Algeria,2000,0.3673412805607498,2.830379964586957,0,0
Algeria,2001,0.3494382744628504,2.677772173384086,0,0
Algeria,2002,0.3649729320120838,2.822388898433843,0,0
Algeria,2003,0.3536635337074541,2.838319656081515,0,0
Algeria,2004,0.3265265097394988,2.707388281405547,0,0
Algeria,2005,0.3825366528070383,3.236168270963583,0,0
Algeria,2006,0.3482589067207594,3.004365149409046,0,0
Algeria,2007,0.3706988836776518,3.20206733567142,0,0
Algeria,2008,0.3592101092082078,3.173224551669236,0,0
Algeria,2009,0.4058044635041214,3.435787367937306,0,0
Algeria,2010,0.3732720678006174,3.312560602188232,0,0
Algeria,2011,0.3662261111742432,3.305571269915064,0,0
Algeria,2012,0.3859082449043546,3.47710809205046,0,0
Algeria,2013,0.3972587428559075,3.525557357798342,0,0
Algeria,2014,0.426385935500432,3.73580277736793,0,0
Algeria,2015,0.4498557580811845,3.854556575616332,0,0
Algeria,2016,0.4435500448038851,3.699155989765484,0,0
Angola,1960,0.005970077954646736,0.1008353356494021,0,0
Angola,1961,0.004956161995442771,0.08220379674705033,0,0
Angola,1962,0.01246198602406113,0.2105314770923408,0,0
Angola,1963,0.01151131256173451,0.2027373034539564,0,0
Angola,1964,0.01162693151312472,0.2135603493190288,0,0
Angola,1965,0.01070281770615816,0.2058909258530786,0,0
Angola,1966,0.01332181940107998,0.2689414368677582,0,0
Angola,1967,0.008223113552723055,0.1721016936765564,0,0
Angola,1968,0.01312409310717849,0.2897180911115223,0,0
Angola,1969,0.02048267107403261,0.4802340204306067,0,0
Angola,1970,0.02409608500755717,0.6082235990469181,0,0
Angola,1971,0.02201240786508941,0.5645482360961182,0,0
Angola,1972,0.02775289127603336,0.7212459782682453,0,0
Angola,1973,0.02851445805259097,0.7512398871965081,0,0
Angola,1974,0.02850143761774938,0.7207763799697695,0,0
Angola,1975,0.02570607172832915,0.6285689066059227,0,0
Angola,1976,0.01816343387086338,0.4513535184859309,0,0
Angola,1977,0.01892829275906379,0.4692211764815194,0,0
Angola,1978,0.02790796668830525,0.6947369474939823,0,0
Angola,1979,0.02763345641988867,0.683062947974992,0,0
Angola,1980,0.02692523420078479,0.6409664021951522,0,0
Angola,1981,0.02728490988425837,0.6111351196454442,0,0
Angola,1982,0.02410238864167003,0.5193546261288179,0,0
Angola,1983,0.02622678142642652,0.5513485741039972,0,0
Angola,1984,0.02493261568751497,0.520982856139637,0,0
Angola,1985,0.02253379911583536,0.47190277210483,0,0
Angola,1986,0.02203217069051433,0.4516188827813964,0,0
Angola,1987,0.02671024818617938,0.5440851322590453,0,0
Angola,1988,0.02262636947737242,0.4635082964027087,0,0
Angola,1989,0.02171002492598213,0.4372954619718918,0,0
Angola,1990,0.02281480202361209,0.4317436146999262,0,0
Angola,1991,0.02241589339885335,0.4155308300720204,0,0
Angola,1992,0.02411963525750062,0.4105229318643389,0,0
Angola,1993,0.02651818926470333,0.4417210979477017,0,0
Angola,1994,0.01780382747407178,0.2881190679890552,0,0
Angola,1995,0.04928141875372713,0.7870325472424,0,0
Angola,1996,0.04567014379144139,0.7262334609820523,0,0
Angola,1997,0.03211249556340301,0.4963612449795146,0,0
Angola,1998,0.03198988850784271,0.4758151595213965,0,0
Angola,1999,0.03943633411477949,0.5770829140897299,0,0
Angola,2000,0.03989240450830847,0.5819614963227959,0,0
Angola,2001,0.04038007490853855,0.5743160542939579,0,0
Angola,2002,0.05141595999550278,0.7229588747159793,0,0
Angola,2003,0.03500805891662302,0.500225395509936,0,0
Angola,2004,0.06933124921965991,1.0018781174791,0,0
Angola,2005,0.06830871557901104,0.9857363549999635,0,0
Angola,2006,0.07672259203281515,1.10501902714063,0,0
Angola,2007,0.08522284709720174,1.203133999634448,0,0
Angola,2008,0.08379656869830124,1.185000493647708,0,0
Angola,2009,0.09290134806070609,1.234425074467179,0,0
Angola,2010,0.09100947277698748,1.244091537655495,0,0
Angola,2011,0.09243197752675994,1.262824619030835,0,0
Angola,2012,0.101463124647613,1.361181054703392,0,0
Angola,2013,0.09953948374267305,1.295075373484862,0,0
Angola,2014,0.1315157708454578,1.664740735940266,0,0
Angola,2015,0.1015945798482675,1.240245462145995,0,0
Angola,2016,0.1025845692397281,1.20286057885999,0,0
Argentina,1960,0.5298245182150491,2.383342970354284,0,0
Argentina,1961,0.5578480078257642,2.458551425533017,0,0
Argentina,1962,0.5667107495351774,2.538446036061369,0,0
Argentina,1963,0.5007054362043626,2.330685052830967,0,0
Argentina,1964,0.5290253838471747,2.553441797435672,0,0
Argentina,1965,0.5302849772745584,2.656465738402908,0,0
Argentina,1966,0.5409789774712148,2.806895516967054,0,0
Argentina,1967,0.542361371370376,2.871099658944996,0,0
Argentina,1968,0.5422034869432797,2.981777316361211,0,0
Argentina,1969,0.5683402205384206,3.288161199706892,0,0
Argentina,1970,0.5564543192840377,3.464527236190138,0,0
Argentina,1971,0.5740741294192242,3.66615941648738,0,0
Argentina,1972,0.5551933156326738,3.657008154122136,0,0
Argentina,1973,0.5495513733772077,3.754154274994275,0,0
Argentina,1974,0.5589198398749317,3.753366604480616,0,0
Argentina,1975,0.5527232432749044,3.670150704158267,0,0
Argentina,1976,0.5516332170691233,3.799261982279548,0,0
Argentina,1977,0.5396919655348833,3.780415490590554,0,0
Argentina,1978,0.5292303439062763,3.792880962809754,0,0
Argentina,1979,0.555780423624263,4.029810269987633,0,0
Argentina,1980,0.54760903275437,3.897888332196752,0,0
Argentina,1981,0.5272619356592066,3.600810028330701,0,0
Argentina,1982,0.5361070735407424,3.591793418670784,0,0
Argentina,1983,0.5394256721770823,3.595564042392523,0,0
Argentina,1984,0.5302105073986988,3.582148497164804,0,0
Argentina,1985,0.4821916623593692,3.329225646877301,0,0
Argentina,1986,0.492629629310564,3.394657650336343,0,0
Argentina,1987,0.5278894889002476,3.685883317035128,0,0
Argentina,1988,0.5357549072962392,3.835714345935509,0,0
Argentina,1989,0.5074837524974636,3.642232454300458,0,0
Argentina,1990,0.5001756919628162,3.438151412208923,0,0
Argentina,1991,0.5157108961855791,3.539959218839747,0,0
Argentina,1992,0.5632964640624333,3.619280357738178,0,0
